"SKU","Product name","Short description","Category","Group","Brand/collection","Primary color","Barcode"
"1025","ELEGANCE","Bežični usisivač 120 W","Kućni aparati i beauty oprema","Usisivači","CYCLONE","bela",""
"1026","KLIMAX","Zidna klima I grejalica sa daljinskim upravljačem, 1800W","Kućni aparati i beauty oprema","Hlađenje i grejanje","AIR VIBE","bela","6979022547901"
"1027","AERO MINI","Mini klima uređaj sa vodom ili ledom","Kućni aparati i beauty oprema","Hlađenje i grejanje","AIR VIBE","bela",""
"1028","LIGHT SHOW","Stoni ventilator sa vodom ili ledom","Kućni aparati i beauty oprema","Hlađenje i grejanje","AIR VIBE","bela",""
"1031","BLENBUDDY","Praktični prenosivi blender, 6 sečiva, recharchable","Kućni aparati i beauty oprema","Priprema hrane","FUSION","roze",""
"1032","BLENBUDDY","Praktični prenosivi blender, 6 sečiva, recharchable","Kućni aparati i beauty oprema","Priprema hrane","FUSION","plava",""
"1033","TURBO MIX","Blender 1000W, 5 brzina, staklena posuda 1,5L","Kućni aparati i beauty oprema","Priprema hrane","RAF","providna",""
"1034","MIX MASTER","Blender, 300W, sa dve posude 600ml + 400ml sa poklopcem","Kućni aparati i beauty oprema","Priprema hrane","RAF","bela",""
"1035","AQUA HEAT","Električna džezva","Kućni aparati i beauty oprema","Aparati za vodu","RAF","",""
"1036","H2O HERO","Kuvalo, 2000W","Kućni aparati i beauty oprema","Aparati za vodu","RAF","bela",""
"1037","HEAT MASTER","Kuvalo, 1500W","Kućni aparati i beauty oprema","Aparati za vodu","RAF","siva",""
"1038","MASTER CHEF ONLY","Samostojeći mikser, od nerđajućeg čelika sa tri brzine, 200W","Kućni aparati i beauty oprema","Priprema hrane","RAF","siva",""
"1039","TWIST PRO","Mikser sa 7 brzina i 2 nastavka , 100W","Kućni aparati i beauty oprema","Priprema hrane","RAF","narandžasta",""
"1040","IRON PRO","Bezična pegla, 2000W, sa zaštitom od kapanja vode","Kućni aparati i beauty oprema","Pegle","RAF","zelena",""
"1041","PRESS PERFECT","Pegla 1000W","Kućni aparati i beauty oprema","Pegle","RAF","plava",""
"1042","SMOOTH EDGE","Pegla 1400W","Kućni aparati i beauty oprema","Pegle","RAF","plava",""
"1043","STYLE HEAT","Presa za kosu, 140 - 200 ºC","Kućni aparati i beauty oprema","Lepota i nega","RAF","crna",""
"1044","SHOP GENIE","Električna seckalica Chop Genie sa dve brzine, 200W, 2L, roze","Kućni aparati i beauty oprema","Priprema hrane","RAF","roze",""
"1045","JUICE FLOW","Električni sokovnik, 40W, 3600 obrtaja u min","Kućni aparati i beauty oprema","Priprema hrane","RAF","bela",""
"1046","TOAST WIZARD","Toster  750W","Kućni aparati i beauty oprema","Kuvanje i pečenje","RAF","crna",""
"1047","THE ART OF STYLING 5 U 1","Stajler za kosu, 1000W","Kućni aparati i beauty oprema","Lepota i nega","BEAUTECH","roze",""
"1048","ELEGANT TOUCH 4 U 1","Stajler za kosu","Kućni aparati i beauty oprema","Lepota i nega","BEAUTECH","braon",""
"1049","ICONIC STYLE","Fen za kosu 2000W","Kućni aparati i beauty oprema","Lepota i nega","BEAUTECH","crna",""
"1050","MASTER OF STYLE","Set za stilizovanje kose, 2000W","Kućni aparati i beauty oprema","Lepota i nega","BEAUTECH","crna",""
"1053","MASTER OF ELEGANCE","Fen za kosu, 2000W","Kućni aparati i beauty oprema","Lepota i nega","BEAUTECH","crna",""
"1074","SHOP GENIE","Električna seckalica Chop Genie sa dve brzine, 200W, 2L, zelena","Kućni aparati i beauty oprema","Priprema hrane","RAF","zelena",""
"1075","SHOP GENIE","Električna seckalica Chop Genie sa dve brzine, 200W, 2L, crvena","Kućni aparati i beauty oprema","Priprema hrane","RAF","crvena",""
"1076","SHOP GENIE","Električna seckalica Chop Genie, 2 brzine, 200W, 2L, Crna","Kućni aparati i beauty oprema","Priprema hrane","RAF","crna",""
"1077","TWIST PRO","Mikser sa 7 brzina i 2 nastavka , 100W","Kućni aparati i beauty oprema","Priprema hrane","RAF","crvena",""
"1078","TWIST PRO","Mikser sa 7 brzina i 2 nastavka , 100W","Kućni aparati i beauty oprema","Priprema hrane","RAF","bela",""
"1079","TWIST PRO","Mikser sa 7 brzina i 2 nastavka , 100W","Kućni aparati i beauty oprema","Priprema hrane","RAF","žuta",""
"1080","TWIST PRO","Mikser sa 7 brzina i 2 nastavka , 100W","Kućni aparati i beauty oprema","Priprema hrane","RAF","bela",""
"1087","URBAN SEAT","Trpezarijska stolica","Nameštaj","Trpezarija","","bela",""
"1095","MIX MASTER","Blender, 300W, sa dve posude 600ml + 400ml sa poklopcem","Kućni aparati i beauty oprema","Priprema hrane","RAF","narandžasta",""
"1096","H2O HERO","Kuvalo, 2000W","Kućni aparati i beauty oprema","Aparati za vodu","RAF","mint zelena",""
"1097","H2O HERO","Kuvalo, 2000W","Kućni aparati i beauty oprema","Aparati za vodu","RAF","bež",""
"1098","PRESS PERFECT","Pegla 1000W","Kućni aparati i beauty oprema","Pegle","RAF","ljubičasta",""
"1099","PRESS PERFECT","Pegla 1000W","Kućni aparati i beauty oprema","Pegle","RAF","roze",""
"1100","SMOOTH EDGE","Pegla 1400W","Kućni aparati i beauty oprema","Pegle","RAF","crvena",""
"1101","SMOOTH EDGE","Pegla 1400W","Kućni aparati i beauty oprema","Pegle","RAF","ljubičasta",""
"1152","URBAN","Barski set  – sto i četiri stolice","Nameštaj","Trpezarija","","natur",""
"1153","ZEN REST","Fotelja","Nameštaj","Dnevna soba","","siva",""
"1154","PATCHWORK","Fotelja","Nameštaj","Dnevna soba","","mix",""
"1155","ELEGANT LIVING","Klub sto","Nameštaj","Dnevna soba","","natur",""
"1156","URBAN RECLINER","Fotelja","Nameštaj","Dnevna soba","","siva",""
"1157","COMPACT","Set stočića","Nameštaj","Dnevna soba","","natur",""
"1158","MODERN LINE","Trpezarijski sto","Nameštaj","Trpezarija","","bela",""
"1159","EASY STORE","Otvorena polica","Nameštaj","Dnevna soba","","natur",""
"1174","CITY LINE","Trpezarijska stolica","Nameštaj","Trpezarija","","siva","670237977637"
"1175","RELAXO","Trosed","Nameštaj","Dnevna soba","","siva","670237977590"
"1176","RELAXO","Trosed","Nameštaj","Dnevna soba","","braon","670237977606"
"1177","HOME STYLE","Trpezarijski sto","Nameštaj","Trpezarija","","","670237977613"
"1179","URBAN","Trpezarijski set","Nameštaj","Trpezarija","","","670237977620"
"1180","HOME STYLE","Trpezarijska stolica","Nameštaj","Trpezarija","","siva",""
"1181","KITCHEN PRO","Multifunkcionalni super secko 12u1","Kućni aparati i beauty oprema","Hlađenje i grejanje","","","670237977477"
"1182","TURBO CUT","Super secko","Kućni aparati i beauty oprema","Priprema hrane","","","670237977545"
"1183","PRO CLEAN","Teleskopski mop sa cediljkom","Sve za kuću","Čišćenje i održavanje","","","670237977552"
"1184","CLEAN HOME","Korpa za veš","Sve za kuću","Čišćenje i održavanje","","krem","670237977576"
"1185","CLEAN BOX","Korpa za veš","Sve za kuću","Čišćenje i održavanje","","siva","670237977583"
"210000","MIX MASTER","Blender  sa dve posude","Kućni aparati i beauty oprema","Priprema hrane","EVONEK","bela","8605078600019"
"210001","MIX MASTER","Blender  sa dve posude","Kućni aparati i beauty oprema","Priprema hrane","EVONEK","siva","8605078600026"
"210002","TWIST PRO","Mikser sa 7 brzina i 2 nastavka","Kućni aparati i beauty oprema","Priprema hrane","EVONEK","bela","8605078600033"
"210003","STEAM PRO","Bezična parna stanica","Kućni aparati i beauty oprema","Pegle","EVONEK","bela","8605078600248"
"210004","AQUA STEAM","Pegla","Kućni aparati i beauty oprema","Pegle","EVONEK","bela","8605078600255"
"210005","GOLD CORE","Pegla","Kućni aparati i beauty oprema","Pegle","EVONEK","crna","8605078600040"
"210006","CHOP GENIE XXL","Električna seckalica, 2 brzine","Kućni aparati i beauty oprema","Priprema hrane","EVONEK","crna","8605078600057"
"210007","BAKE MASTER","Rerna","Kućni aparati i beauty oprema","Kuvanje i pečenje","EVONEK","crna","8605078600064"
"210008","CLEAN HOME","Usisivač","Kućni aparati i beauty oprema","Usisivači","EVONEK","crna","8605078600071"
"210009","TURBO MIX","Blender sa staklenom posudom","Kućni aparati i beauty oprema","Priprema hrane","EVONEK","","8605078600088"
"210010","KAFINA","Električna džezva","Kućni aparati i beauty oprema","Aparati za vodu","EVONEK","silver","8605078600095"
"210011","INFUSO","Električna džezva","Kućni aparati i beauty oprema","Aparati za vodu","EVONEK","crna","8605078600101"
"210012","INFUSO","Električna džezva","Kućni aparati i beauty oprema","Aparati za vodu","EVONEK","bela","8605078600118"
"210013","BARISTA","Električna džezva","Kućni aparati i beauty oprema","Aparati za vodu","EVONEK","staklena","8605078600125"
"210014","TURBO AIR","Fen za kosu","Kućni aparati i beauty oprema","Lepota i nega","EVONEK","crna","8605078600132"
"210015","BELLA","Kuvalo","Kućni aparati i beauty oprema","Aparati za vodu","EVONEK","silver","8605078600149"
"210016","POWER COOK","Indukciona ploča","Kućni aparati i beauty oprema","Priprema hrane","EVONEK","crna","8605078600156"
"210017","H2O HERO","Kuvalo","Kućni aparati i beauty oprema","Aparati za vodu","EVONEK","bela","8605078600163"
"210018","HEAT MASTER","Kuvalo","Kućni aparati i beauty oprema","Aparati za vodu","EVONEK","siva","8605078600170"
"210019","BON APPETIT","3u1 set za doručak","Kućni aparati i beauty oprema","Priprema hrane","EVONEK","crna","8605078600187"
"210020","DUO COOK","Električna ringla","Kućni aparati i beauty oprema","Kuvanje i pečenje","EVONEK","crna","8605078600194"
"210021","HYDRO HEAT","Kuvalo","Kućni aparati i beauty oprema","Aparati za vodu","EVONEK","","8605078600200"
"210022","IRON PRO","Bezična pegla sa zaštitom od kapanja","Kućni aparati i beauty oprema","Pegle","EVONEK","ljubičasta","8605078600217"
"210023","MAX TASTE","Električni roštilj","Kućni aparati i beauty oprema","Kuvanje i pečenje","EVONEK","crna","8605078600224"
"210024","SINGLE COOK","Električna ringla","Kućni aparati i beauty oprema","Kuvanje i pečenje","EVONEK","crna","8605078600231"
"210026","LOFT","Kompjuter sto","Nameštaj","Kancelarija","","sonoma","8605078600262"
"210027","X DESK","Kompjuter sto","Nameštaj","Kancelarija","","sonoma","8605078600279"
"210028","X DESK LUX","Kompjuter sto","Nameštaj","Kancelarija","","sonoma","8605078600286"
"210029","LOFT","Otvorena polica","Nameštaj","Dnevna soba","","sonoma","8605078600293"
"210030","CUBE","Fotelja","Nameštaj","Dnevna soba","","braon","8605078600309"
"210031","CUBE","Fotelja","Nameštaj","Dnevna soba","","siva","8605078600316"
"210032","NOVA 4","Polica za cipele","Nameštaj","Predsoblje","","srebrna","8605078600323"
"210033","DUO CIRCLE","Set klub stolova","Nameštaj","Dnevna soba","","sonoma","8605078600330"
"210034","DUO SQUARE","Set klub stolova","Nameštaj","Dnevna soba","","sonoma","8605078600347"